Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
5587.456 5587.4693 17897.23 50 "" "" "" "18.96595369  -   21.18492247" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L3469
5590.8991 5590.9032 17886.211 500 "" "" "" "18.72638145  -   20.94398733" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L4498
5592.7 5592.6605 17880.44 80 "" "" "" "18.96595369  -   21.18286278" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L7441
5654.1352 5654.1345 17686.1707 750 737000.0 0.00353 C+ "18.61270528  -   20.80551122" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L3451
5657.5955 5657.5949 17675.353 750 366000.0 0.00293 C+ "18.61270528  -   20.80417004" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5658.2287 5658.2276 17673.3755 5000 2950000.0 0.0236 C+ "18.61270528  -   20.80392497" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L3451
5664.1204 5664.119 17654.9921 750 531000.0 0.00255 B+ "18.38162323  -   20.57056379" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L3451
5686.224 5686.2394 17586.36 250 "" "" "" "18.96595369  -   21.14637893" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L3469
5691.395 5691.3943 17570.3846 1500 1410000.0 0.0114 B+ "18.38162323  -   20.56007355" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L3451
5716.9265 5716.9306 17491.916 350 "" "" "" "18.63679156  -   20.80551122" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" "" L4498
5720.4663 5720.4683 17481.092 1500 254000.0 0.00125 C+ "18.63679156  -   20.80417004" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5720.8114 5720.8122 17480.0379 5000 984000.0 0.00676 C+ "18.63679156  -   20.80403974" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" T6976 L3451
5721.1167 5721.1152 17479.105 750 196000.0 0.00096 C "18.63679156  -   20.80392497" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L4498
5749.8929 5749.8923 17391.6283 5000 3340000.0 0.0166 C+ "18.55510805  -   20.71139537" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 3" "" T6976 L3451
5750.2391 5750.2431 17390.581 700 253000.0 0.000897 C+ "18.55510805  -   20.71126380" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 2" "" T6976 L4498
5762.1862 5762.1859 17354.5243 700 506000.0 0.0018 C+ "18.55510805  -   20.70679493" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L3451
5765.6511 5765.6516 17344.095 30 550000.0 0.00274 C+ "18.55510805  -   20.70550158" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).4d  | 2[7/2]* | 3" "" T6976 L4498
5766.0175 5766.0176 17342.9928 7000 11200000.0 0.0717 B "18.55510805  -   20.70536507" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).4d  | 2[7/2]* | 4" "" T6976 L3451
5771.907 5771.9135 17325.297 500 404000.0 0.00606 C+ "18.96595369  -   21.11401428" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
5805.6993 5805.7013 17224.454 750 188000.0 0.00133 C+ "18.57583601  -   20.71139537" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 3" "" T6976 L4498
5806.059 5806.059 17223.3868 5000 3600000.0 0.0182 C+ "18.57583601  -   20.71126380" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 2" "" T6976 L3451
5813.0179 5813.0171 17202.7684 3000 737000.0 0.00224 C+ "18.57583601  -   20.70870776" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L3451
5818.2346 5818.235 17187.344 500 173000.0 0.00088 C "18.57583601  -   20.70679493" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5821.7694 5821.7685 17176.9084 5000 8600000.0 0.0612 C+ "18.57583601  -   20.70550158" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[7/2]* | 3" "" T6976 L3451
5830.5223 5830.5227 17151.122 750 287000.0 0.00088 C "18.57583601  -   20.70230399" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L4498
5854.1101 5854.1101 17082.0157 20000 61500000.0 0.1053 AA "16.84805369  -   18.96595369" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[1/2]  | 0" "" T6389 L7292
5870.043 5870.042 17035.65 750 826000.0 0.00427 C+ "18.69335943  -   20.80551122" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L4498
5873.7725 5873.7718 17024.834 750 669000.0 0.00577 C+ "18.69335943  -   20.80417004" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5874.4552 5874.4538 17022.8551 5000 6070000.0 0.0523 C+ "18.69335943  -   20.80392497" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L3451
5883.5252 5883.5254 16996.613 10000 11500000.0 0.0358 B+ "16.61907009  -   18.72638145" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<1/2>).3p  | 2[1/2]  | 1" "" T2733 L7292
5899.9633 5899.9636 16949.258 200 201000.0 0.00063 C "18.70407118  -   20.80551122" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L4498
5903.73 5903.7315 16938.444 30 735000.0 0.00384 C+ "18.70407118  -   20.80417004" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5904.098 5904.0978 16937.3883 500 8560000.0 0.0626 C+ "18.70407118  -   20.80403974" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" T6976 L3451
5904.4192 5904.4205 16936.4667 50 1250000.0 0.00652 C+ "18.70407118  -   20.80392497" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L3451
5908.0661 5908.0648 16926.0123 500 4510000.0 0.0393 C+ "18.61270528  -   20.71126380" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 2" "" T6976 L3451
5915.2717 5915.2696 16905.394 2500 3190000.0 0.0167 C+ "18.61270528  -   20.70870776" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L7292
5920.5469 5920.546 16890.3316 2500 2970000.0 0.0468 C+ "18.71137667  -   20.80551122" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L3451
5920.6691 5920.6729 16889.983 80 415000.0 0.00363 C+ "18.61270528  -   20.70679493" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5936.0964 5936.098 16846.088 750 1080000.0 0.0019 C+ "18.61270528  -   20.70135337" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 0" "" T6976 L4498
5940.9609 5940.9623 16832.294 500 200000.0 0.000635 B+ "18.57583601  -   20.66277398" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L4498
5946.481 5946.4812 16816.6685 5000 11300000.0 0.0599 B+ "16.61907009  -   18.70407118" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 2" "" T2733 L7292
5963.2743 5963.2737 16769.3107 700 2280000.0 0.0122 C+ "18.72638145  -   20.80551122" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L3451
5967.1235 5967.1229 16758.4933 5000 6410000.0 0.057 C+ "18.72638145  -   20.80417004" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L3451
5967.8317 5967.8268 16756.505 350 242000.0 0.00215 C+ "18.72638145  -   20.80392497" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L4498
5976.2823 5976.2832 16732.8106 5000 6060000.0 0.0454 C+ "18.63679156  -   20.71139537" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 3" "" T6976 L3451
5977.1895 5977.1892 16730.2709 6000 3510000.0 0.0113 B+ "16.61907009  -   18.69335943" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 1" "" T2733 L7292
5984.0324 5984.0354 16711.14 80 99000.0 0.000318 C "18.63679156  -   20.70870776" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L4498
5989.566 5989.5651 16695.7006 1500 3630000.0 0.0195 C+ "18.63679156  -   20.70679493" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L3451
5993.3073 5993.3097 16685.278 750 1180000.0 0.00892 C+ "18.63679156  -   20.70550158" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[7/2]* | 3" "" T6976 L4498
6002.5895 6002.5879 16659.4766 1000 1140000.0 0.0037 C+ "18.63679156  -   20.70230399" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L3451
6031.6666 6031.6667 16579.1656 10000 5610000.0 0.0306 B+ "16.67082693  -   18.72638145" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[1/2]  | 1" "" T2733 L7292
6043.686 6043.6611 16546.19 150 156000.0 0.00257 C "18.96595369  -   21.01742872" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" T6976 L3469
6047.809 6047.807 16534.9138 500 226000.0 0.00124 B+ "18.61270528  -   20.66277398" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L3451
6066.215 6066.2146 16484.7438 500 1640000.0 0.00302 B+ "18.61270528  -   20.65655315" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 0" "" T2734 L3451
6076.0193 6076.0194 16458.1438 10000 60300000.0 0.111 B+ "16.67082693  -   18.71137667" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[1/2]  | 0" "" T2733 L7292
6097.8506 6097.8507 16399.2211 3000 18100000.0 0.168 B+ "16.67082693  -   18.70407118" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 2" "" T2733 L7292
6119.7121 6119.7075 16340.638 150 609000.0 0.00205 B+ "18.63679156  -   20.66277398" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L4498
6130.146 6130.1462 16312.8251 1000 670000.0 0.00377 B+ "16.67082693  -   18.69335943" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 1" "" T2733 L3451
6144.208 6144.2058 16275.49 1000 1640000.0 0.0154 C+ "18.69335943  -   20.71126380" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 2" "" T6976 L3469
6144.7629 6144.7628 16274.021 10000 28200000.0 0.16 B+ "16.61907009  -   18.63679156" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 2" "" T2733 L7292
6152.0006 6151.9985 16254.875 1000 1330000.0 0.00753 C+ "18.69335943  -   20.70870776" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L4498
6157.8417 6157.8431 16239.456 500 172000.0 0.00163 C "18.69335943  -   20.70679493" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
6165.2994 6165.2996 16219.8125 10000 14600000.0 0.25 B+ "16.71538108  -   18.72638145" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0" "2s2.2p5.(2P*<1/2>).3p  | 2[1/2]  | 1" "" T2733 L7292
6174.5237 6174.5305 16195.581 150 427000.0 0.00081 C "18.69335943  -   20.70135337" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 0" "" T6976 L4498
6176.5916 6176.5906 16190.159 700 752000.0 0.00602 C+ "18.70407118  -   20.71139537" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 3" "" T6976 L3451
6176.993 6176.9955 16189.107 500 300000.0 0.00172 C+ "18.70407118  -   20.71126380" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 2" "" T6976 L4498
6183.8566 6183.8569 16171.1381 1500 3720000.0 0.0152 B+ "18.55510805  -   20.56007355" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L3451
6184.8684 6184.8716 16168.493 50 118000.0 0.000406 C "18.70407118  -   20.70870776" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L4498
6190.7774 6190.7789 16153.0602 700 588000.0 0.00338 C+ "18.70407118  -   20.70679493" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L3451
6194.7799 6194.7794 16142.6236 500 180000.0 0.00145 C+ "18.70407118  -   20.70550158" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[7/2]* | 3" "" T6976 L3451
6204.6902 6204.6924 16116.84 150 244000.0 0.00084 C "18.70407118  -   20.70230399" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L4498
6207.4945 6207.4936 16109.5592 1000 1520000.0 0.0263 C+ "18.71137667  -   20.70870776" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L3451
6215.595 6215.5949 16088.5644 1500 2850000.0 0.0099 B+ "18.57583601  -   20.57056379" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L3451
6219.0013 6219.0013 16079.7523 10000 6370000.0 0.0222 B+ "16.61907009  -   18.61270528" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 1" "" T2733 L7292
6227.4573 6227.4598 16057.918 500 619000.0 0.0108 C+ "18.71137667  -   20.70230399" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L4498
6248.4574 6248.4554 16003.9501 1000 797000.0 0.00467 B+ "18.57583601  -   20.56007355" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L3451
6251.322 6251.3207 15996.62 50 "" "" "" "18.96595369  -   20.94928177" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L3469
6254.462 6254.4798 15988.59 20 "" "" "" "18.72638145  -   20.70870776" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" "" L3469
6260.5196 6260.5208 15973.115 1000 606000.0 0.00593 C+ "18.72638145  -   20.70679493" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
6268.2285 6268.2283 15953.4708 10000 24900000.0 0.44 B+ "16.71538108  -   18.69335943" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 1" "" T2733 L7292
6274.7491 6274.75 15936.892 700 994000.0 0.00587 C+ "18.72638145  -   20.70230399" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L4498
6277.7685 6277.7702 15929.227 500 1250000.0 0.00246 C+ "18.72638145  -   20.70135337" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 0" "" T6976 L4498
6295.4853 6295.485 15884.3989 1000 639000.0 0.0038 B+ "18.69335943  -   20.66277398" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L3451
6306.5329 6306.5325 15856.5732 1000 4160000.0 0.0413 B+ "16.67082693  -   18.63679156" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 2" "" T2733 L7292
6315.4314 6315.4337 15834.231 1500 3400000.0 0.00678 B+ "18.69335943  -   20.65655315" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 0" "" T2734 L4498
6329.9144 6329.9138 15798.0019 3000 3390000.0 0.0122 B+ "18.70407118  -   20.66277398" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L3451
6332.64 6332.6434 15791.202 1500 1460000.0 0.00878 B+ "18.61270528  -   20.57056379" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L4498
6336.1791 6336.1794 15782.3821 10000 16100000.0 0.0969 B+ "16.61907009  -   18.57583601" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<3/2>).3p  | 2[5/2]  | 2" "" T2733 L7292
6353.6094 6353.6112 15739.085 1000 345000.0 0.00626 B+ "18.71137667  -   20.66277398" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L4498
6366.756 6366.7566 15706.586 1000 160000.0 0.00162 B+ "18.61270528  -   20.56007355" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L4498
6384.756 6384.7562 15662.3058 10000 32100000.0 0.196 B+ "16.67082693  -   18.61270528" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 1" "" T2733 L7292
6402.845 6402.8443 15618.06 1000 1390000.0 0.00854 B+ "18.72638145  -   20.66277398" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L3469
6404.0177 6404.0169 15615.1972 20000 51490000.0 0.4432 AAA "16.61907009  -   18.55510805" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2" "2s2.2p5.(2P*<3/2>).3p  | 2[5/2]  | 3" "" T4273 L7292
6411.5186 6411.5203 15596.929 1500 1410000.0 0.00521 B+ "18.63679156  -   20.57056379" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L4498
6423.4794 6423.4803 15567.887 1000 2100000.0 0.00433 B+ "18.72638145  -   20.65655315" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 0" "" T2734 L4498
6446.4929 6446.4909 15512.3105 1500 1160000.0 0.00723 B+ "18.63679156  -   20.56007355" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L3451
6508.3255 6508.3259 15364.9354 15000 30000000.0 0.318 B+ "16.67082693  -   18.57583601" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[5/2]  | 2" "" T2733 L7292
6534.6872 6534.687 15302.9512 1000 10800000.0 0.207 B+ "16.71538108  -   18.61270528" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 1" "" T2733 L7292
6600.7754 6600.7755 15149.7353 10000 23200000.0 0.152 B+ "16.84805369  -   18.72638145" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[1/2]  | 1" "" T2733 L7292
6604.7244 6604.7257 15140.677 1000 476000.0 0.00311 B+ "18.69335943  -   20.57056379" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L4498
6641.8431 6641.8418 15056.062 100 62100.0 0.000685 B+ "18.69335943  -   20.56007355" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L4498
6642.63 6642.63 15054.27 50 3800.0 1.51e-05 C "18.70407118  -   20.57056379" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L7441
6653.9294 6653.9295 15028.7137 1500 290000.0 0.000642 B "16.84805369  -   18.71137667" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[1/2]  | 0" "" T2733 L3451
6668.733 6668.7316 14995.352 1000 357000.0 0.00714 B+ "18.71137667  -   20.57056379" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L5951
6680.1205 6680.1202 14969.7898 5000 23300000.0 0.26 B+ "16.84805369  -   18.70407118" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 2" "" T2733 L7292
6718.8974 6718.8974 14883.3945 700 21700000.0 0.147 B+ "16.84805369  -   18.69335943" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[3/2]  | 1" "" T2733 L7292
6722.9897 6722.9902 14874.335 20 51500.0 0.000349 B+ "18.72638145  -   20.57056379" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 1" "" T2734 L4498
6739.892 6739.8924 14837.033 700 1250000.0 0.0255 C+ "18.96595369  -   20.80551122" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L4498
6761.4479 6761.4513 14789.732 150 160000.0 0.00183 B+ "18.72638145  -   20.56007355" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5s  | 2[3/2]* | 2" "" T2734 L4498
6931.3787 6931.3788 14427.1441 100000 17400000.0 0.209 B+ "16.84805369  -   18.63679156" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<3/2>).3p  | 2[3/2]  | 2" "" T2733 L3451
