Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
7272.667 7272.67 13750.113 7 110000.0 0.00087 D "13.07571571  -   14.780512" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* | 3" "" T1218n L2634
7274.94 7274.939 13745.818 2000 1830000.0 0.0145 B+ "11.62359272  -   13.32785705" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<1/2>).4p  | 2[1/2]  | 1" "" T5223 L2634
7313.731 7313.731 13672.913 35 1700000.0 0.014 D+ "13.15314387  -   14.84836899" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" T1218n L2634
7318.021 7318.021 13664.897 25 960000.0 0.0077 D+ "13.32785705  -   15.02208834" "3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" T1218n L2634
7352.839 7352.839 13600.189 5 1200000.0 0.0032 D+ "13.32785705  -   15.0140655" "3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" T1218n L2634
7355.319 7355.32 13595.604 70 960000.0 0.011 D+ "13.09487256  -   14.780512" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* | 3" "" T1218n L2634
7374.149 7374.148 13560.887 200 1900000.0 0.02 D+ "13.07571571  -   14.7570516" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).4d  | 2[7/2]* | 4" "" T1218n L2634
7386.014 7386.014 13539.102 10000 8500000.0 0.115 B "11.62359272  -   13.30222747" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<1/2>).4p  | 2[3/2]  | 2" "" T5223 L2634
7395.016 7395.016 13522.62 20 720000.0 0.0035 D+ "13.17177770  -   14.84836899" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" T1218n L2634
7414.379 7414.378 13487.307 15 390000.0 0.0054 D+ "13.28263902  -   14.95485204" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T1218n L2634
7427.339 7427.339 13463.772 10 310000.0 0.0036 D "13.30222747  -   14.97152236" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" T1218n L2634
7437.416 7437.416 13445.53 25 900000.0 0.0075 D+ "13.17177770  -   14.83881100" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" T1218n L2634
7438.345 7438.345 13443.851 10 270000.0 0.0016 D "13.07571571  -   14.74254085" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T1218n L2634
7505.935 7505.934 13322.79 20000 45000000.0 0.125 B "11.82807116  -   13.47988682" "3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1" "3s2.3p5.(2P*<1/2>).4p  | 2[1/2]  | 0" "" T5223 L2634
7516.721 7516.72 13303.673 15000 40000000.0 0.114 B "11.62359272  -   13.27303810" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<3/2>).4p  | 2[1/2]  | 0" "" T5223 L2634
7637.208 7637.207 13093.791 25000 24500000.0 0.214 B "11.54835442  -   13.17177770" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<3/2>).4p  | 2[3/2]  | 2" "" T5223 L2634
