Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4468.989 4468.9909 22376.43 40 "" "" "" "36.05507591  -   38.8293979" "2s2.2p4.(3P).4p    | 4P*   | 1/2" "2s2.2p4.(3P).6s    | 2P    | 3/2" "" "" L1406
4470.1673 4470.1668 22370.527 180 "" "" "" "34.77428890  -   37.5478811" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L5951
4472.841 4472.8409 22357.156 160 "" "" "" "34.86080527  -   37.6327393" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L1406
4476.646 4476.645 22338.153 60 "" "" "" "34.86080527  -   37.6303838" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L1406
4479.19 4479.192 22325.463 22 "" "" "" "37.9693434   -   40.7373472" "2s2.2p4.(1D).3d    | 2D    | 5/2" "2s2.2p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L1406
4497.504 4497.5052 22234.553 60 2100000.0 0.008 D "34.80245657  -   37.5591893" "2s2.2p4.(3P).3d    | 4F    | 7/2" "2s2.2p4.(3P<2>).4f | 2[5]* | 9/2" "" T1115CA,LS L1406
4500.1867 4500.1874 22221.3 180 "" "" "" "34.81085841  -   37.5659481" "2s2.2p4.(3P).3d    | 4P    | 1/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L9088
4500.3787 4500.379 22220.352 180 "" "" "" "34.81085841  -   37.5658308" "2s2.2p4.(3P).3d    | 4P    | 1/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" "" L5951
4509.3931 4509.3923 22175.933 180 "" "" "" "34.8807871   -   37.6302529" "2s2.2p4.(3P).3d    | 2P    | 1/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L9088
4512.685 4512.685 22159.755 160 "" "" "" "38.0243755   -   40.7718350" "2s2.2p4.(1D).3d    | 2F    | 5/2" "2s2.2p4.(1D<2>).4f | 2[4]* | 7/2" "" "" L1406
4512.743 4512.743 22159.47 160 "" "" "" "38.0244230   -   40.7718471" "2s2.2p4.(1D).3d    | 2F    | 7/2" "2s2.2p4.(1D<2>).4f | 2[4]* | 9/2" "" "" L1406
4516.15 4516.1475 22142.753 140 "" "" "" "34.80245657  -   37.5478097" "2s2.2p4.(3P).3d    | 4F    | 7/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L1406
4517.93 4517.9262 22134.032 60 "" "" "" "34.81085841  -   37.5551307" "2s2.2p4.(3P).3d    | 4P    | 1/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L1406
4518.596 4518.594 22130.769 80 "" "" "" "38.0243755   -   40.7682421" "2s2.2p4.(1D).3d    | 2F    | 5/2" "2s2.2p4.(1D<2>).4f | 2[3]* | 5/2" "" "" L1406
4518.671 4518.671 22130.401 120 "" "" "" "38.0244230   -   40.7682429" "2s2.2p4.(1D).3d    | 2F    | 7/2" "2s2.2p4.(1D<2>).4f | 2[3]* | 7/2" "" "" L1406
4519.1004 4519.0994 22128.298 160 "" "" "" "34.80245657  -   37.5460164" "2s2.2p4.(3P).3d    | 4F    | 7/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 9/2" "" "" L5951
4523.582 4523.5776 22106.374 60 "" "" "" "34.81442056  -   37.5552644" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L1406
4523.792 4523.7982 22105.348 12 "" "" "" "34.81442056  -   37.5551307" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L1406
4523.9874 4523.9872 22104.3939 200 "" "" "" "34.92886254  -   37.6694582" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L5951
4527.727 4527.7211 22086.14 80 "" "" "" "35.12749222  -   37.8658278" "2s2.2p4.(3P).4s    | 2P    | 3/2" "2s2.2p4.(1S).3p    | 2P*   | 1/2" "" "" L1406
