Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
5445.2023 5445.20387 18364.791 7 "" "" "" "23.682522355  -   25.95946554" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 2F    | 5/2" "" "" L11520
5449.07 5449.08355 18351.76 2 "" "" "" "22.78797918   -   25.063301207" "3s2.3p4.(3P).4d    | 4D    | 5/2" "3s2.3p4.(3P).6p    | 4P*   | 5/2" "" "" L14821
5452.62 5452.5803 18339.79 0.5 "" "" "" "21.42814610   -   23.702008951" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "" "" L14821
5455.15 5455.1065 18331.3 5* "" "" "" "23.484470418  -   25.75728027" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L14821
5455.15 5455.1642 18331.3 5* "" "" "" "23.63042494   -   25.90321077" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L14821
5455.821 5455.81367 18329.047 11* "" "" "" "23.404027598  -   25.67654286" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L11520
5455.821 5455.8249 18329.047 11* "" "" "" "23.63042494   -   25.90293551" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 5/2" "" "" L11520
5456.273 5456.2989 18327.53 1 "" "" "" "22.82463962   -   25.09695279" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(3P).6p    | 4P*   | 1/2" "" "" L14821
5457.898 5457.8889 18322.07 5 "" "" "" "23.63042494   -   25.9020761" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<2>).7p | 2[2]* | 5/2" "" "" L14821
5467.9528 5467.95285 18288.38 6 "" "" "" "23.162238164  -   25.42970831" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<2>).5f | 2[5]* | 9/2" "" "" L2634
5470.618 5470.61858 18279.473 4 "" "" "" "23.484470418  -   25.75083567" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).6d    | 4D    | 7/2" "" "" L11520
5471.827 5471.84242 18275.43 2 "" "" "" "22.83687165   -   25.102730005" "3s2.3p4.(3P).4d    | 4D    | 1/2" "3s2.3p4.(3P).6p    | 4D*   | 3/2" "" "" L14821
5474.163 5474.16042 18267.63 1 "" "" "" "22.81135843   -   25.076257320" "3s2.3p4.(3P).4d    | 4D    | 3/2" "3s2.3p4.(3P).6p    | 4P*   | 3/2" "" "" L14821
5477.64 5477.67234 18256.03 0 "" "" "" "23.682522355  -   25.94596914" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 3/2" "" "" L14821
5483.52 5483.52284 18236.46 1 "" "" "" "23.438088809  -   25.69912067" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
5485.835 5485.82953 18228.77 1 "" "" "" "22.83687165   -   25.09695279" "3s2.3p4.(3P).4d    | 4D    | 1/2" "3s2.3p4.(3P).6p    | 4P*   | 1/2" "" "" L14821
5487.626 5487.62784 18222.82 1 "" "" "" "23.570177223  -   25.82951773" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
5492.193 5492.20743 18207.66 1 "" "" "" "23.702008951  -   25.95946554" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 2F    | 5/2" "" "" L14821
5498.65 5498.65598 18186.28 3 "" "" "" "23.682522355  -   25.93733151" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 5/2" "" "" L14821
5499.7113 5499.7119 18182.772 8 "" "" "" "21.42814610   -   23.682522355" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "" "" L11520
5500.5 5500.51245 18180.17 2bl "" "" "" "23.162238164  -   25.41628630" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 7/2" "" "" L14821
5501.8604 5501.8608 18175.67 10 "" "" "" "21.36689104   -   23.620386781" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "" "" L11520
5503.008 5503.0278 18171.88 2l "" "" "" "21.36689104   -   23.619908872" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "" "" L14821
5504.785 5504.796 18166.01 3 "" "" "" "23.619908872  -   25.87220304" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L14821
5505.659 5505.65493 18163.13 0 "" "" "" "22.81135843   -   25.063301207" "3s2.3p4.(3P).4d    | 4D    | 3/2" "3s2.3p4.(3P).6p    | 4P*   | 5/2" "" "" L14821
5505.979 5505.9643 18162.07 0 "" "" "" "23.620386781  -   25.87220304" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L14821
5506.446 5506.4498 18160.53 3 "" "" "" "22.82463962   -   25.076257320" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(3P).6p    | 4P*   | 3/2" "" "" L14821
5509.292 5509.2942 18151.152 6 "" "" "" "23.80181442   -   26.05226965" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 5/2" "" "" L11520
5514.835 5514.8366 18132.91 1 "" "" "" "23.58132422   -   25.82951773" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
5518.2 5518.21633 18121.85 2 "" "" "" "23.162238164  -   25.40905473" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<2>).5f | 2[4]* | 9/2" "" "" L14821
5520.87 5520.8758 18113.09 4 "" "" "" "21.42814610   -   23.67388033" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "" "" L14821
5523.274 5523.29503 18105.2 1 "" "" "" "23.17153570   -   25.41628630" "3s2.3p4.(3P).4d    | 4P    | 5/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 7/2" "" "" L14821
5525.224 5525.24056 18098.81 2 "" "" "" "23.702008951  -   25.94596914" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 3/2" "" "" L14821
5527.391 5527.4188 18091.72 2 "" "" "" "23.514204395  -   25.75728027" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L14821
5536.497 5536.52728 18061.96 0h "" "" "" "22.83687165   -   25.076257320" "3s2.3p4.(3P).4d    | 4D    | 1/2" "3s2.3p4.(3P).6p    | 4P*   | 3/2" "" "" L14821
5537.047 5537.07158 18060.17 1h "" "" "" "23.17153570   -   25.41070124" "3s2.3p4.(3P).4d    | 4P    | 5/2" "3s2.3p4.(3P<2>).5f | 2[4]* | 7/2" "" "" L14821
5538.828 5538.83152 18054.36 5 "" "" "" "23.438088809  -   25.67654286" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L14821
5545.42 5545.44402 18032.9 1 "" "" "" "23.64788005   -   25.88366492" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "3s2.3p4.(3P).7s    | 2P    | 1/2" "" "" L14821
5546.5892 5546.59094 18029.098 7 "" "" "" "23.702008951  -   25.93733151" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 5/2" "" "" L11520
5555.5651 5555.5645 17999.9689 29 "" "" "" "23.63042494   -   25.86213691" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L11520
5555.688 5555.6873 17999.57 9 "" "" "" "23.63042494   -   25.86208761" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 1/2" "" "" L11520
5564.741 5564.768 17970.29 2 "" "" "" "23.87401512   -   26.1020361" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<2>).6f | 2[2]* | 5/2" "" "" L14821
5579.2345 5579.2341 17923.606 9 "" "" "" "21.62407061   -   23.84631466" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "" "" L11520
5580.07 5580.0756 17920.923 4 "" "" "" "23.87401512   -   26.0959240" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<2>).6f | 2[3]* | 7/2" "" "" L11520
5584.16 5584.1616 17907.8 1 "" "" "" "23.87401512   -   26.0942982" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<2>).6f | 2[3]* | 5/2" "" "" L14821
5589.652 5589.6537 17890.2 0.5 "" "" "" "23.87401512   -   26.09211674" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<2>).6f | 2[4]* | 7/2" "" "" L14821
5593.753 5593.7632 17877.09 1 "" "" "" "23.01454553   -   25.231017595" "3s2.3p4.(3P).4d    | 4F    | 7/2" "3s2.3p4.(3P).6p    | 2D*   | 5/2" "" "" L14821
5595.07 5595.078 17872.87 1 "" "" "" "23.89325004   -   26.109201" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<2>).6f | 2[1]* | 3/2" "" "" L14821
5604.18 5604.20702 17843.84 0.5 "" "" "" "23.070289982  -   25.282631498" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P).6p    | 4S*   | 3/2" "" "" L14821
5605.4913 5605.49199 17839.6496 3 "" "" "" "23.48728630   -   25.69912067" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L2634
5611.1372 5611.13783 17821.6994 5 "" "" "" "23.619908872  -   25.82951773" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L2634
5613.225 5613.228 17815.07 2 "" "" "" "23.89325004   -   26.1020361" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<2>).6f | 2[2]* | 5/2" "" "" L14821
5618.819 5618.821 17797.33 0 "" "" "" "24.31038415   -   26.5169717" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 5/2" "" "" L14821
5623.07 5623.076 17783.88 0* "" "" "" "24.31205385   -   26.5169717" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 5/2" "" "" L14821
5623.07 5623.115 17783.88 0* "" "" "" "24.31205385   -   26.5169564" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 7/2" "" "" L14821
5625.566 5625.5822 17775.99 1 "" "" "" "21.42648951   -   23.63042494" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "3s2.3p4.(3P).4d    | 2P    | 3/2" "" "" L14821
5627.238 5627.2399 17770.707 10 "" "" "" "21.36689104   -   23.570177223" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "" "" L11520
5632.7199 5632.72003 17753.413 8 "" "" "" "23.682522355  -   25.88366492" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 1/2" "" "" L11520
5632.944 5632.9615 17752.71 1 "" "" "" "23.89325004   -   26.0942982" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<2>).6f | 2[3]* | 5/2" "" "" L14821
5636.225 5636.22084 17742.37 2 "" "" "" "23.619908872  -   25.81968425" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
5637.4455 5637.44559 17738.5305 13 "" "" "" "23.620386781  -   25.81968425" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L11520
5643.979 5643.99438 17718.0 2 200000.0 0.00048 C "17.77579262   -   19.972538226" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L14821
5655.249 5655.2429 17682.69 0 "" "" "" "23.682522355  -   25.87489852" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 3/2" "" "" L14821
5655.589 5655.5925 17681.62 2 "" "" "" "21.42814610   -   23.620386781" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "" "" L14821
5656.0248 5656.02651 17680.262 8 "" "" "" "23.484470418  -   25.67654286" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L11520
5656.805 5656.8257 17677.82 2 "" "" "" "21.42814610   -   23.619908872" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "" "" L14821
5668.863 5668.8778 17640.22 0 "" "" "" "23.570177223  -   25.75728027" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L14821
5671.533 5671.56885 17631.92 0 "" "" "" "23.620386781  -   25.80645208" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 4F    | 7/2" "" "" L14821
5674.5508 5674.55147 17622.54 6 "" "" "" "23.514204395  -   25.69912067" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L11520
5683.057 5683.03161 17596.16 2* "" "" "" "23.702008951  -   25.88366492" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 1/2" "" "" L14821
5683.057 5683.0793 17596.16 2* "" "" "" "23.64788005   -   25.82951773" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
5693.2422 5693.2408 17564.684 11 "" "" "" "21.62407061   -   23.80181442" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "" "" L11520
5694.88 5694.89538 17559.63 0 "" "" "" "23.08230349   -   25.259414577" "3s2.3p4.(3P).4d    | 4P    | 1/2" "3s2.3p4.(3P).6p    | 2P*   | 3/2" "" "" L14821
5705.9592 5705.9595 17525.537 5 "" "" "" "23.702008951  -   25.87489852" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 3/2" "" "" L2634
5708.798 5708.81106 17516.82 1 "" "" "" "23.64788005   -   25.81968425" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
5710.2 5710.2106 17512.52 1 "" "" "" "21.67504277   -   23.84631466" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "" "" L14821
5713.038 5713.0465 17503.82 1 "" "" "" "23.702008951  -   25.87220304" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L14821
5717.615 5717.61997 17489.81 1 "" "" "" "23.258113744  -   25.42657193" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 5/2" "" "" L14821
5725.913 5725.91321 17464.46 5 400000.0 0.00098 C "17.140027439  -   19.30534490" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "" T926 L14821
5733.8 5733.80164 17440.44 1 "" "" "" "23.514204395  -   25.67654286" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L14821
5734.284 5734.294 17438.97 1 "" "" "" "23.80181442   -   25.96396722" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 3/2" "" "" L14821
5744.8686 5744.86956 17406.838 4 "" "" "" "23.258113744  -   25.41628630" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 7/2" "" "" L2634
5750.985 5750.99081 17388.33 0 "" "" "" "23.258113744  -   25.41398919" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 5/2" "" "" L14821
5755.136 5755.147 17375.78 1 "" "" "" "24.15487223   -   26.30919076" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<0>).6g | 2[4]  | 9/2" "" "" L14821
5758.197 5758.1952 17366.55 3 "" "" "" "21.42814610   -   23.58132422" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "" "" L14821
5768.141 5768.0969 17336.61 2* "" "" "" "24.15972864   -   26.30921053" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<0>).6g | 2[4]  | 7/2" "" "" L14821
5768.141 5768.15384 17336.61 2* "" "" "" "22.94864813   -   25.098108804" "3s2.3p4.(3P).4d    | 4F    | 9/2" "3s2.3p4.(3P).6p    | 4D*   | 7/2" "" "" L14821
5773.9238 5773.922 17319.245 9 "" "" "" "21.36689104   -   23.514204395" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "" "" L11520
5774.781 5774.77717 17316.67 0h "" "" "" "23.682522355  -   25.82951773" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
5776.298 5776.3028 17312.12 1 "" "" "" "23.702008951  -   25.84843727" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 1/2" "" "" L14821
5777.976 5777.98359 17307.1 2 "" "" "" "23.67388033   -   25.81968425" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
5782.871 5782.875 17292.45 2 "" "" "" "19.222902151  -   21.36689104" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "3s2.3p4.(1D).3d    | 2D    | 5/2" "" "" L14821
5783.95 5783.9507 17289.21 0.5 "" "" "" "24.15215486   -   26.29574504" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P).7d    | 4D    | 7/2" "" "" L14821
5788.166 5788.1605 17276.63 4bl "" "" "" "21.42814610   -   23.570177223" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "" "" L11520
5790.19 5790.18823 17270.6 0 "" "" "" "23.070289982  -   25.211570947" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P).6p    | 2D*   | 3/2" "" "" L14821
5801.3483 5801.34797 17237.372 3 "" "" "" "23.682522355  -   25.81968425" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L2634
5802.07 5802.0767 17235.23 1 "" "" "" "23.620386781  -   25.75728027" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L14821
5809.206 5809.2229 17214.06 1 "" "" "" "24.19283498   -   26.3270998" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P).7d    | 4F    | 7/2" "" "" L14821
5814.372 5814.37104 17198.762 9 "" "" "" "21.498049871  -   23.63042494" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "3s2.3p4.(3P).4d    | 2P    | 3/2" "" "" L11520
5815.17 5815.2173 17196.4 0.5 "" "" "" "24.313723219  -   26.44578799" "3s2.3p4.(3P<1>).4f | 2[4]* | 9/2" "3s2.3p4.(3P).7d    | 2F    | 7/2" "" "" L14821
5817.885 5817.90381 17188.38 2 "" "" "" "21.127033505  -   23.258113744" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "3s2.3p4.(3P).4d    | 2F    | 5/2" "" "" L14821
5823.7432 5823.74317 17171.087 5 "" "" "" "23.570177223  -   25.69912067" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L2634
5827.6701 5827.67037 17159.516 3 "" "" "" "23.702008951  -   25.82951773" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L2634
5829.675 5829.6902 17153.62 3 "" "" "" "21.67504277   -   23.80181442" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "" "" L14821
5837.09 5837.11601 17131.83 0 "" "" "" "17.74309101   -   19.867157038" "3s2.3p4.(3P).3d    | 4F    | 5/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" "" L14821
5840.58 5840.5939 17121.59 1 "" "" "" "19.30534490   -   21.42814610" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "3s2.3p4.(1D).3d    | 2D    | 3/2" "" "" L14821
5841.667 5841.6881 17118.4 1 "" "" "" "21.42648951   -   23.54889313" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "3s2.3p4.(3P).4d    | 2P    | 1/2" "" "" L14821
5845.401 5845.39758 17107.47 7 38000.0 0.00019 E "17.140027439  -   19.261084163" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T997n L14821
5847.73 5847.699 17100.65 0.5p "" "" "" "24.19224889   -   26.3124708" "3s2.3p4.(3P<2>).4f | 2[5]* | 11/2" "3s2.3p4.(3P).7d    | 4F    | 9/2" "" "" L14821
5854.36 5854.39637 17081.28 0 "" "" "" "23.58132422   -   25.69912067" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
5854.72 5854.73128 17080.23 2 "" "" "" "23.702008951  -   25.81968425" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
5855.8956 5855.88942 17076.807 4 "" "" "" "23.070289982  -   25.18754647" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(1D).5p    | 2F*   | 5/2" "" "" L2634
5868.224 5868.243 17040.93 2 "" "" "" "22.26659804   -   24.37939735" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L14821
5872.07 5872.0799 17029.77 4 "" "" "" "22.26659804   -   24.37801682" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 7/2" "" "" L14821
5886.17 5886.16697 16988.97 0.5 "" "" "" "23.570177223  -   25.67654286" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L14821
5887.719 5887.7288 16984.51 3 "" "" "" "19.261084163  -   21.36689104" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "3s2.3p4.(1D).3d    | 2D    | 5/2" "" "" L14821
5895.79 5895.8083 16961.25 0h* "" "" "" "24.15215486   -   26.25507599" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 9/2" "" "" L14821
5895.79 5895.8393 16961.25 0h* "" "" "" "24.19283498   -   26.29574504" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P).7d    | 4D    | 7/2" "" "" L14821
5903.42 5903.4363 16939.35 0 "" "" "" "24.15487223   -   26.25507612" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L14821
5903.42 5903.4366 16939.35 0 "" "" "" "24.15487223   -   26.25507599" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 9/2" "" "" L14821
5905.927 5905.944 16932.14 2p? "" "" "" "24.15215486   -   26.25146700" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<1>).6g | 2[5]  | 11/2" "" "" L14821
5910.311 5910.31331 16919.58 0.5 "" "" "" "23.01454553   -   25.11230570" "3s2.3p4.(3P).4d    | 4F    | 7/2" "3s2.3p4.(3P).6p    | 4D*   | 5/2" "" "" L14821
5917.13 5917.1188 16900.09 0 "" "" "" "24.15972864   -   26.25507612" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L14821
5924.72 5924.74 16878.43 0* "" "" "" "24.16242396   -   26.25507612" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L14821
5924.72 5924.7403 16878.43 0* "" "" "" "24.16242396   -   26.25507599" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 9/2" "" "" L14821
5928.41 5928.38806 16867.92 0.5 "" "" "" "17.77579262   -   19.867157038" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" "" L14821
5937.437 5937.4426 16842.29 2 "" "" "" "23.702008951  -   25.79018407" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4D    | 3/2" "" "" L14821
5937.954 5937.945 16840.82 1 "" "" "" "23.87401512   -   25.962013" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P).7p    | 1*    | 5/2" "" "" L14821
5938.28 5938.28502 16839.88 1 "" "" "" "23.17153570   -   25.259414577" "3s2.3p4.(3P).4d    | 4P    | 5/2" "3s2.3p4.(3P).6p    | 2P*   | 3/2" "" "" L14821
5943.471 5943.4676 16825.18 4 "" "" "" "21.42814610   -   23.514204395" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "" "" L14821
5952.554 5952.55191 16799.51 6 70000.0 0.00056 E "17.140027439  -   19.222902151" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "" T926 L14821
5955.4797 5955.4804 16791.2586 5 "" "" "" "23.80181442   -   25.88366492" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 1/2" "" "" L2634
5963.02 5963.03843 16770.02 0 "" "" "" "23.619908872  -   25.69912067" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
5964.396 5964.40936 16766.16 0.5 "" "" "" "23.620386781  -   25.69912067" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
